Timestamp,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
263202,-0.076454296708107,0.005044574383646,0.009585744701326,44809.97265625,4423,4343,31,0.995964586734772
263222,0.082565791904926,-0.089268185198307,0.012358371168375,45197.31640625,12279,4462,142,1.01609826087952
263242,-0.052417725324631,0.009763495065272,0.011656248010695,45183.16796875,21945,6133,-52,0.931995630264282
263262,-0.171892330050468,-0.037079524248839,0.004273123573512,45188.0703125,6208,8765,34,1.0460125207901
263282,-0.01830193027854,-0.02586879208684,0.028905121609569,44958.32421875,5053,8453,214,1.02992510795593
263302,0.12760891020298,0.186465114355087,0.038674984127283,44676.63671875,6240,3414,327,1.01097297668457
263322,-0.040747802704573,0.308723092079163,0.025870937854052,45375.96484375,3345,1045,348,0.990184426307678
263342,-0.064139537513256,0.460572332143784,0.019536502659321,45385.390625,14093,-857,369,0.949599742889404
263362,0.001218893332407,0.420578181743622,0.076594322919846,45368.62890625,9690,403,758,1.00926423072815
263382,-0.130508184432983,0.203195363283157,0.084307074546814,45474.44921875,12945,1905,969,0.989216029644012
263402,-0.081641361117363,0.118532769382,0.12548853456974,45278.640625,10807,5115,1254,1.00969994068146
263422,-0.208510205149651,0.052918236702681,0.15080851316452,46299.76171875,16648,4132,1628,1.04622793197632
263442,-0.26130336523056,0.157928571105003,0.120916984975338,46079.62890625,16766,866,1605,1.01753401756287
263462,-0.160032480955124,0.305514484643936,0.171617239713669,45653.59765625,14317,1624,1770,1.0180823802948
263482,-0.176735296845436,0.201251581311226,0.132219016551971,45487.66015625,17297,2852,1713,0.94571441411972
263502,-0.145583674311638,-0.067055471241474,0.127895548939705,45631.4296875,20942,7675,1824,0.969248414039612
263522,-0.104467779397964,-0.146322175860405,0.138678327202797,47336.60546875,18493,5715,1951,1.01448273658752
263542,-0.162553086876869,-0.096067115664482,0.150018304586411,47146.66015625,19001,6035,2083,1.00930869579315
263562,-0.240717381238937,-0.108002781867981,0.163868397474289,47009.56640625,21108,6976,2166,1.02361273765564
263582,-0.190792843699455,0.005461346358061,0.189245656132698,46595.5546875,20296,3062,2355,1.00723743438721
263602,-0.151324152946472,0.213952407240868,0.218441531062126,46543.83984375,19967,-1103,2708,0.9788538813591
263622,-0.014428657479584,0.385428905487061,0.247605070471764,47909.3671875,13395,-1743,2949,1.00697898864746
263642,0.252326399087906,0.227265074849129,0.241033554077148,47972.2421875,11603,1050,3023,0.976549386978149
263662,0.295469462871552,0.095299504697323,0.282371670007706,48393.125,14243,4097,3606,0.928943574428558
263682,-0.069897741079331,0.045037295669317,0.307259649038315,48520.1796875,17582,3405,3933,0.961993336677551
263702,0.051886267960072,-0.016557183116675,0.307688415050507,48494.1171875,18914,6236,4208,1.04555642604828
263722,-0.038515128195286,0.155420899391174,0.348117768764496,49011.796875,18812,1226,4678,1.02929699420929
263742,-0.125174030661583,0.263058751821518,0.381408482789993,48875.03125,17538,-1748,5183,1.04384934902191
263762,-0.203000798821449,0.269708037376404,0.423448324203491,48726.90234375,19427,-5086,3765,1.00557506084442
263782,-0.201306983828545,0.284544616937637,0.439006388187408,48403.2734375,22053,-647,6170,0.979864954948425
263802,-0.116583988070488,0.302568793296814,0.455071687698364,48614.69140625,19843,-2418,6051,0.958853483200073
263822,0.031113523989916,0.260096907615662,0.472824394702911,50158.8203125,18548,-530,6805,0.978054165840149
263842,0.102666527032852,0.03047632612288,0.463524788618088,50428.44140625,19951,554,8855,0.986562371253967
263862,0.03128981590271,0.036827504634857,0.419122517108917,50613.2421875,21862,-3629,6862,1.01622176170349
263882,-0.129651919007301,0.353887110948563,0.322525858879089,50741.00390625,25452,-9731,7295,1.02803564071655
263902,-0.224309802055359,0.322050660848618,0.302090555429459,50643.01953125,25900,-3987,5432,1.05620038509369
263922,-0.344530373811722,0.185794427990913,0.267788022756577,50465.24609375,29352,-6326,6510,1.00926697254181
263942,-0.369327753782272,0.237098395824432,0.216793790459633,50263.3046875,27941,-9053,5225,0.985228955745697
263962,-0.245104759931564,0.336643606424332,0.176841229200363,50289.67578125,22177,-9756,4958,0.974324345588684
263982,-0.137868762016296,0.304205626249313,0.096554100513458,50768.015625,28746,-14517,6085,0.953707814216614
264002,0.194296330213547,0.281247943639755,0.06174810603261,50394.43359375,31014,-9527,9399,0.963926553726196
264022,0.288145124912262,0.007914092391729,0.016299739480019,51802.69140625,26919,-10429,8097,0.972275853157043
264042,0.088776096701622,-0.087869107723236,-0.008110569790006,52251.609375,17558,-9083,789,1.02139902114868
264062,0.16969645023346,-0.135258749127388,-0.055110458284617,52238.7578125,26345,-9520,2130,1.05332112312317
264082,-0.072616003453732,-0.136360302567482,-0.116551272571087,51986.6640625,32767,-11408,2294,1.01357543468475
264102,-0.511400818824768,-0.095018111169338,-0.168787375092506,50436.00390625,32615,-16046,1832,1.04102921485901
264122,-0.387380421161652,0.019786549732089,-0.248377323150635,51435.08203125,32767,-12929,781,1.05313289165497
264142,-0.193993791937828,-0.108849816024303,-0.19794636964798,51405.3671875,28695,-12348,-16,0.999305903911591
264162,0.363845080137253,-0.390235424041748,-0.183153510093689,50722.82421875,21315,-5736,1900,0.956964492797852
264182,1.1269428730011,-0.930382668972015,-0.162997722625732,51084.1796875,12938,3114,3079,0.940991461277008
264202,1.79928350448608,-1.2871321439743,-0.219983801245689,48958.57421875,2997,2675,12471,0.915160238742828
264222,2.24681353569031,-1.24177134037018,-0.153689578175545,51877.37109375,-8806,7515,911,0.934269845485687
264242,-0.618076801300049,-1.07692801952362,-0.238345265388489,50968.953125,32767,4059,-936,1.23392391204834
264262,-1.08726561069489,-0.708397030830383,-0.312285363674164,49183.046875,32767,4338,-120,0.930030047893524
264282,-0.130742236971855,-0.600439965724945,-0.417105495929718,47502.5546875,20976,1978,3247,0.941593527793884
264302,0.673918426036835,-0.328477948904037,-0.45852193236351,47157.08203125,22866,-1904,-11171,0.975775718688965
264322,0.483388096094132,0.01387547980994,-0.42936110496521,51830.109375,32767,-2857,-2587,1.03895163536072
264342,-0.966127455234528,0.300245523452759,-0.649368166923523,52973.40234375,32767,-2434,5249,1.11470234394073
264362,-0.433705687522888,0.067511267960072,-0.547352612018585,51693.07421875,32767,6277,2766,0.984617710113525
264382,-0.158075496554375,-0.319790422916412,-0.547593951225281,50671.31640625,30397,11746,-5510,1.07282793521881
264402,0.255788207054138,-0.426838666200638,-0.564569890499115,50089.71875,15900,12583,5413,0.965164661407471
264422,1.17975544929504,-0.212221875786781,-0.503198146820068,52561.35546875,3988,5176,4561,0.917233884334564
264442,1.80129361152649,0.242310017347336,-0.412867516279221,53173.5625,11110,4847,4037,0.945561110973358
264462,-0.784372627735138,0.468558192253113,-0.600680828094482,52675.62890625,19125,4723,-8670,1.13827681541443
264482,-0.778836488723755,0.648581862449646,-0.538260459899902,51875.82421875,29154,6439,-15181,0.931045770645142
264502,-0.293311297893524,0.342497617006302,-0.518026351928711,53016.75390625,15540,4913,2002,0.925603687763214
264522,0.726716339588165,0.409973382949829,-0.299132972955704,55456.296875,11805,5245,-3656,0.958152651786804
264542,0.909900069236755,0.310703665018082,-0.43990433216095,56984.85546875,32665,7008,-991,0.984103620052338
264562,-0.427596509456634,-0.021868607029319,-0.409729301929474,55793.4375,32647,12995,-5889,1.0596729516983
264582,-0.600718379020691,-0.165388882160187,-0.4406598508358,56046.95703125,32767,16861,-6130,0.95834344625473
264602,-0.101363360881805,-0.21589469909668,-0.338865995407104,56232.10546875,27140,15475,-5998,0.998579561710358
264622,0.526647806167603,0.193679735064507,-0.251532852649689,57541.99609375,14025,10111,-5622,0.960696578025818
264642,0.553351879119873,0.365674644708633,-0.275750011205673,55306.41015625,30993,11881,-6191,1.0468475818634
264662,-0.947908878326416,0.272096782922745,-0.267514795064926,55881.53515625,32767,9295,-6317,1.05168032646179
264682,-0.346234887838364,0.203433647751808,-0.274800032377243,55471.96484375,11859,15496,-7207,0.919718384742737
264702,0.737178921699524,0.310220628976822,-0.220226868987083,55177.1640625,22902,12368,-6350,0.992597699165344
264722,0.332916349172592,0.540592432022095,-0.124387942254543,56819.4921875,32767,8496,-6601,1.04866504669189
264742,0.151010438799858,0.639346480369568,-0.149523332715035,54562.7890625,29357,6920,-6585,1.02322018146515
264762,0.037297137081623,0.443848788738251,0.007487466558814,54741.5234375,24322,11454,-5719,1.01959526538849
264782,0.474823415279388,0.305505096912384,-0.051569864153862,53492.74609375,18551,11094,-6678,0.986738324165344
264802,0.997330904006958,0.361354976892471,0.166278645396233,53367.3828125,11755,6657,-4376,1.0093606710434
264822,0.668917655944824,0.254721283912659,0.086451709270477,55213.9609375,32767,3697,-4686,1.09616589546204
264842,-0.214521422982216,0.308645933866501,0.241636663675308,53208.1328125,29476,4376,-3626,1.07529163360596
264862,0.815599858760834,0.300759315490723,0.300381720066071,51891.87109375,10627,386,-3097,0.946570694446564
264882,1.44136798381805,0.46724808216095,0.369985699653625,51617.1953125,1671,-1630,-2665,0.983763098716736
264902,1.14812994003296,0.49579980969429,0.451738804578781,50267.15625,23464,648,-1419,1.03041183948517
264922,0.662497520446777,0.232381656765938,0.411117672920227,55149.7890625,15749,440,-1691,0.987209916114807
264942,0.229936495423317,-0.137951672077179,0.475128918886185,54731.19921875,12245,3510,-648,1.04034626483917
264962,1.10941231250763,-0.322179615497589,0.518227994441986,55415.76953125,-356,930,114,0.967590808868408
264982,1.41318583488464,-0.202647119760513,0.56599497795105,54322.8359375,-16371,1204,754,1.03066420555115
265002,1.18563461303711,-0.106081679463387,0.554679155349731,54151.0390625,-10039,-4388,1624,1.03856956958771
265022,0.925502419471741,-0.049866311252117,0.540932357311249,58485.00390625,-11347,-2583,1863,1.02058935165405
265042,0.619211733341217,-0.340223580598831,0.529879093170166,58566.5859375,-11685,2322,2160,1.0273185968399
265062,0.047251615673304,-0.71663099527359,0.499834656715393,58138.08203125,-2575,6241,2987,1.01593029499054
265082,-0.462064325809479,-0.945718944072723,0.525775611400604,59456.484375,-431,7144,3722,1.04135704040527
265102,-0.815667927265167,-1.01760077476501,0.486481010913849,61679.71484375,2670,5357,4166,1.04977989196777
265122,-1.08217549324036,-0.787635326385498,0.480108559131622,59879.640625,4138,2645,4350,1.06703448295593
265142,-1.25706422328949,-0.46202751994133,0.405792564153671,60534.453125,5862,3187,4358,1.07338798046112
265162,-1.37113070487976,-0.325424075126648,0.374344676733017,61006.69140625,4497,-2666,4364,1.07507407665253
265182,-1.4069037437439,0.005565457977355,0.382107317447662,61520.48046875,5975,-1843,4591,1.05462491512299
265202,-1.44461536407471,0.016371442005038,0.289683848619461,55602.859375,7723,-2238,4180,1.07312262058258
265222,-1.48609781265259,-0.035823237150908,0.2240209877491,56377.015625,11187,-5210,4008,1.10850834846497
265242,-1.51365911960602,-0.153635799884796,0.179380148649216,53615.33203125,9877,496,3831,1.08596050739288
265262,-1.28555524349213,-0.225964710116386,0.083695411682129,52673.39453125,8742,-1131,3311,1.04913580417633
265282,-1.07002806663513,-0.193334192037582,0.090112984180451,50797.0625,4494,-1534,3503,1.03736364841461
265302,-0.816811800003052,-0.308162987232208,-0.02287608012557,48097.66796875,5071,1661,2905,1.0162433385849
265322,-0.623874366283417,-0.267786413431168,0.008156134746969,51729.70703125,9722,1214,3084,0.969631493091583
265342,-0.310698419809341,-0.067829519510269,-0.074575610458851,51329.52734375,7605,-688,2500,0.928140103816986
265362,-0.010653395205736,0.069710485637188,-0.064751394093037,51161.58984375,5488,-1089,2604,0.942092597484589
265382,0.216624841094017,0.085431076586247,-0.090381883084774,51116.6015625,1990,459,2313,0.95728725194931
265402,0.401647984981537,0.035520110279322,-0.106876641511917,51088.72265625,2224,-258,2229,0.939252495765686
265422,0.480014115571976,0.035630267113447,-0.115648664534092,54283.9765625,4305,750,2094,0.925867080688477
265442,0.606050133705139,0.068897537887096,-0.103995583951473,54599.375,3354,1188,1970,0.928800284862518
265462,0.71102237701416,0.090528093278408,-0.120804823935032,54889.5703125,3405,866,1757,0.953959345817566
265482,0.66310042142868,0.086998023092747,-0.120750732719898,55040.4296875,1329,544,1823,0.959312319755554
265502,0.697880148887634,0.031086599454284,-0.138477057218552,55161.30859375,2001,2136,1715,0.981094896793366
265522,0.669118106365204,0.097171105444431,-0.150172591209412,57639.66015625,2895,1928,1288,0.972395837306976
265542,0.644203722476959,0.080521933734417,-0.16738672554493,57785.4140625,1004,-271,1038,1.00973701477051
265562,0.577224791049957,0.065699070692062,-0.14152355492115,57778.5234375,2391,2185,1186,1.01488995552063
265582,0.524425208568573,0.017285807058215,-0.176832512021065,57820.2578125,1764,4463,862,1.01460540294647
265602,0.393270373344421,-0.009319382719696,-0.151658967137337,57695.11328125,3064,3316,907,1.03148472309113
265622,0.396180957555771,-0.019923387095332,-0.153787836432457,59113.61328125,1250,4459,720,1.02050197124481
265642,0.359572649002075,0.020308133214712,-0.144310966134071,59127.96875,4178,1473,710,1.0445761680603
265662,0.245782181620598,0.143193796277046,-0.100443467497826,59041.8671875,4740,2865,971,1.05126929283142
265682,0.151408135890961,0.108942322432995,-0.111994192004204,58825.0859375,3250,2635,746,1.04600632190704
265702,0.108871482312679,0.120666332542896,-0.066307127475739,58606.9609375,554,1884,869,1.05010938644409
265722,0.076758302748203,0.076213158667088,-0.060401130467653,58741.9453125,2671,1668,849,1.05761659145355
265742,0.015943489968777,0.070633046329022,-0.049738328903914,58522.0703125,5529,4394,966,1.03753626346588
265762,-0.000812112935819,0.128080382943153,-0.009019625373185,58325.69921875,5044,1839,1209,1.0399044752121
265782,-0.086593791842461,0.124173857271671,-0.028864853084087,57996.96875,2533,3457,1069,1.06301856040955
265802,-0.037432845681906,0.166980475187302,0.038419701159,57810.19140625,2411,1605,1460,1.04076981544495
265822,-0.186947613954544,0.168050095438957,0.032786507159472,58323.75,-718,4241,1507,1.02222836017609
265842,-0.043903712183237,0.198968276381493,0.040885929018259,58066.8515625,538,2672,1469,1.04802799224854
265862,-0.097023732960224,0.190645113587379,0.076898746192455,57630.515625,2922,824,1875,1.03803074359894
265882,-0.083880729973316,0.130610212683678,0.098679147660732,57486.06640625,2755,3024,1968,1.02956438064575
265902,-0.161374449729919,0.044777400791645,0.090241655707359,57194.53125,214,3013,2146,1.04068720340729
265922,-0.094127982854843,-0.027286948636174,0.138264164328575,57025.2890625,619,1665,2509,1.02103352546692
265942,-0.213303938508034,0.036142833530903,0.129495680332184,56672.19140625,2433,831,2629,1.0427120923996
265962,-0.15233014523983,0.025786751881242,0.136609956622124,56461.61328125,-742,2311,2670,1.03562819957733
265982,-0.2553471326828,0.046147834509611,0.11567959189415,56146.12109375,-145,1679,2736,1.00334584712982
266002,-0.09964906424284,0.121474340558052,0.139915496110916,56028.3046875,411,-686,3016,1.00890243053436
266022,-0.125381171703339,0.058806139975786,0.096468329429627,55736.30078125,1896,195,2783,1.03167569637299
266042,-0.107257895171642,0.049302935600281,0.095690406858921,55442.890625,3657,1181,2880,0.986163556575775
266062,-0.179982990026474,0.032012227922678,0.077998861670494,55348.08984375,886,1056,1949,1.01371264457703
